,Unnamed: 0,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Codechef,Salary,DSA
0,0,22,Male,Electronics And Communication,1,8,1,1,1,3.0,61669.0,700.0
1,1,21,Female,Computer Science,0,7,1,1,1,2.0,38160.0,500.0
2,2,22,Female,Information Technology,1,6,0,0,1,3.0,33584.0,500.0
3,3,21,Male,Information Technology,0,8,0,1,1,2.0,52404.0,600.0
4,4,22,Male,Mechanical,0,8,1,0,1,2.0,45557.0,600.0
5,5,22,Male,Electronics And Communication,0,6,0,0,0,2.0,22042.0,400.0
6,6,21,Male,Computer Science,0,7,0,1,0,2.0,41012.0,500.0
7,7,21,Male,Information Technology,1,7,0,0,0,3.0,43302.0,600.0
8,8,21,Male,Computer Science,2,6,0,0,1,4.0,40592.0,600.0
9,9,21,Female,Computer Science,1,6,1,0,0,3.0,33321.0,500.0
10,10,22,Male,Computer Science,1,7,0,0,0,3.0,48407.0,600.0
11,11,22,Female,Electrical,1,8,0,1,1,3.0,52155.0,700.0
12,12,21,Female,Computer Science,2,6,1,1,0,4.0,45977.0,600.0
13,13,21,Male,Computer Science,1,8,0,1,1,3.0,58836.0,700.0
14,14,21,Female,Electronics And Communication,2,8,0,0,1,4.0,67537.0,800.0
15,15,22,Male,Mechanical,0,8,1,0,1,2.0,45808.0,600.0
16,16,22,Female,Computer Science,1,7,1,0,0,3.0,45414.0,600.0
17,17,21,Male,Civil,0,6,0,0,0,2.0,25771.0,400.0
18,18,21,Male,Computer Science,1,7,0,0,0,3.0,45736.0,600.0
19,19,22,Male,Computer Science,1,7,0,0,0,3.0,43523.0,600.0
20,20,22,Male,Civil,0,8,0,0,1,2.0,49785.0,600.0
21,21,21,Male,Computer Science,1,6,0,0,0,3.0,42782.0,500.0
22,22,22,Male,Civil,0,7,0,0,0,2.0,30293.0,500.0
23,23,22,Male,Electronics And Communication,1,7,0,1,0,3.0,45021.0,600.0
24,24,22,Male,Electronics And Communication,0,7,0,0,0,2.0,31952.0,500.0
25,25,21,Male,Electrical,0,8,1,0,1,2.0,45141.0,600.0
26,26,22,Male,Electrical,1,8,0,0,1,3.0,52469.0,700.0
27,27,22,Male,Information Technology,1,8,0,0,1,3.0,63476.0,700.0
28,28,22,Male,Information Technology,1,8,0,0,1,3.0,57046.0,700.0
29,29,21,Male,Information Technology,0,6,0,0,1,2.0,30460.0,400.0
30,30,22,Male,Mechanical,1,8,1,0,1,3.0,51279.0,700.0
31,31,21,Male,Electrical,1,7,0,0,1,3.0,41451.0,600.0
32,32,21,Female,Civil,1,7,0,0,0,3.0,44099.0,600.0
33,33,21,Male,Electrical,0,7,0,0,0,2.0,39936.0,500.0
34,34,21,Male,Computer Science,1,6,0,0,1,3.0,41002.0,500.0
35,35,21,Male,Information Technology,1,6,0,0,0,3.0,36739.0,500.0
36,36,22,Male,Civil,0,7,0,0,1,2.0,38024.0,500.0
37,37,22,Male,Computer Science,1,8,0,0,1,3.0,54023.0,700.0
38,38,22,Male,Information Technology,1,6,0,0,0,3.0,34775.0,500.0
39,39,22,Male,Electronics And Communication,0,8,0,1,1,2.0,50275.0,600.0
40,40,22,Male,Electrical,1,6,0,1,0,3.0,31670.0,500.0
41,41,22,Male,Civil,0,8,1,0,1,2.0,54080.0,600.0
42,42,21,Male,Electrical,1,7,1,1,1,3.0,49394.0,600.0
43,43,21,Male,Electrical,1,7,0,0,1,3.0,54488.0,600.0
44,44,22,Female,Information Technology,2,8,0,0,1,4.0,74517.0,800.0
45,45,21,Female,Electronics And Communication,3,6,0,0,1,5.0,53944.0,700.0
46,46,22,Male,Computer Science,1,8,0,0,1,3.0,60197.0,700.0
47,47,21,Male,Electronics And Communication,1,7,0,1,1,3.0,52196.0,600.0
48,48,21,Male,Information Technology,2,7,0,0,1,4.0,58450.0,700.0
49,49,21,Female,Electronics And Communication,0,7,0,0,0,2.0,36197.0,500.0
50,50,22,Male,Electronics And Communication,0,8,0,0,1,2.0,51780.0,600.0
51,51,21,Male,Electrical,1,8,0,0,1,3.0,63537.0,700.0
52,52,21,Female,Computer Science,1,8,1,0,1,3.0,62546.0,700.0
53,53,21,Male,Electrical,3,6,1,1,0,5.0,50899.0,700.0
54,54,21,Female,Electronics And Communication,3,6,0,0,1,5.0,60764.0,700.0
55,55,21,Male,Computer Science,1,7,0,0,1,3.0,46076.0,600.0
56,56,21,Male,Electronics And Communication,0,8,0,0,1,2.0,42755.0,600.0
57,57,21,Male,Civil,0,8,0,0,1,2.0,45659.0,600.0
58,58,21,Male,Electronics And Communication,0,8,0,0,1,2.0,50021.0,600.0
59,59,21,Female,Electrical,1,8,0,0,1,3.0,52523.0,700.0
60,60,21,Male,Computer Science,2,9,0,1,1,5.0,72591.0,900.0
61,61,22,Male,Computer Science,0,8,0,0,1,2.0,48575.0,600.0
62,62,21,Male,Information Technology,0,8,0,0,1,2.0,53718.0,600.0
63,63,21,Male,Information Technology,0,9,0,0,1,3.0,64918.0,700.0
64,64,21,Male,Information Technology,1,8,1,0,1,3.0,58324.0,700.0
65,65,22,Male,Mechanical,0,9,0,0,1,3.0,57331.0,700.0
66,66,22,Male,Computer Science,1,9,0,0,1,4.0,67191.0,800.0
67,67,21,Male,Information Technology,0,8,0,0,1,2.0,41559.0,600.0
68,68,22,Male,Computer Science,2,9,0,0,1,5.0,72479.0,900.0
69,69,21,Male,Mechanical,0,8,1,1,1,2.0,54818.0,600.0
70,70,22,Male,Electrical,1,8,0,0,1,3.0,61205.0,700.0
71,71,22,Male,Information Technology,0,9,0,0,1,3.0,62949.0,700.0
72,72,22,Male,Computer Science,3,9,0,0,1,6.0,93550.0,1000.0
73,73,21,Male,Information Technology,0,8,0,0,1,2.0,51658.0,600.0
74,74,22,Male,Information Technology,1,9,0,0,1,4.0,72784.0,800.0
75,75,21,Male,Civil,0,8,0,0,1,2.0,48987.0,600.0
76,76,21,Male,Mechanical,0,9,1,0,1,3.0,62939.0,700.0
77,77,22,Male,Mechanical,0,8,1,1,1,2.0,40304.0,600.0
78,78,22,Male,Information Technology,0,8,0,0,1,2.0,54275.0,600.0
79,79,21,Male,Computer Science,1,8,0,0,1,3.0,62562.0,700.0
80,80,21,Male,Civil,0,9,0,0,1,3.0,63822.0,700.0
81,81,21,Male,Computer Science,1,9,0,0,1,4.0,72070.0,800.0
82,82,22,Male,Mechanical,0,8,1,0,1,2.0,41223.0,600.0
83,83,21,Male,Information Technology,0,8,0,0,1,2.0,42326.0,600.0
84,84,21,Male,Mechanical,0,8,1,0,1,2.0,46077.0,600.0
85,85,21,Male,Electronics And Communication,2,7,0,0,1,4.0,60379.0,700.0
86,86,21,Male,Computer Science,0,8,0,0,1,2.0,52417.0,600.0
87,87,21,Male,Computer Science,0,6,0,0,0,2.0,23755.0,400.0
88,88,22,Female,Civil,1,6,1,0,0,3.0,34649.0,500.0
89,89,22,Male,Mechanical,1,7,0,0,0,3.0,40784.0,600.0
90,90,21,Male,Civil,1,8,0,1,1,3.0,60742.0,700.0
91,91,22,Male,Information Technology,1,6,0,0,1,3.0,34200.0,500.0
92,92,21,Male,Electrical,1,6,0,0,1,3.0,33054.0,500.0
93,93,22,Female,Information Technology,2,7,0,0,0,4.0,60899.0,700.0
94,94,22,Male,Electronics And Communication,0,6,0,0,0,2.0,24585.0,400.0
95,95,22,Male,Computer Science,1,8,0,0,1,3.0,52280.0,700.0
96,96,21,Male,Computer Science,2,7,0,0,0,4.0,61813.0,700.0
97,97,22,Male,Information Technology,0,8,0,0,1,2.0,40168.0,600.0
98,98,22,Female,Information Technology,0,7,0,0,0,2.0,37114.0,500.0
99,99,21,Male,Mechanical,0,7,0,0,0,2.0,42736.0,500.0
100,100,23,Male,Computer Science,0,7,0,0,1,2.0,37209.0,500.0
101,101,23,Male,Civil,0,6,0,0,1,2.0,25329.0,400.0
102,102,23,Male,Mechanical,1,5,0,0,0,3.0,210695.0,200.0
103,103,24,Male,Information Technology,2,6,0,0,1,4.0,49424.0,600.0
104,104,23,Male,Electrical,0,5,1,0,0,2.0,41463.0,100.0
105,105,23,Male,Information Technology,1,6,0,0,0,3.0,35679.0,500.0
106,106,24,Female,Information Technology,0,6,0,0,1,2.0,28242.0,400.0
107,107,24,Male,Information Technology,1,7,0,0,1,3.0,49592.0,600.0
108,108,24,Male,Civil,1,7,0,1,1,3.0,41881.0,600.0
109,109,23,Male,Information Technology,1,7,0,0,1,3.0,40947.0,600.0
110,110,23,Male,Information Technology,1,6,0,0,1,3.0,43307.0,500.0
111,111,24,Male,Electronics And Communication,1,6,0,1,1,3.0,32733.0,500.0
112,112,24,Male,Electrical,0,7,0,0,0,2.0,41144.0,500.0
113,113,23,Male,Information Technology,1,6,0,0,0,3.0,40650.0,500.0
114,114,24,Male,Computer Science,0,6,0,0,1,2.0,23320.0,400.0
115,115,23,Male,Electrical,0,6,0,0,0,2.0,25501.0,400.0
116,116,23,Male,Information Technology,1,7,1,0,1,3.0,49932.0,600.0
117,117,23,Male,Information Technology,1,7,1,0,1,3.0,40698.0,600.0
118,118,24,Male,Information Technology,3,5,0,1,1,5.0,53260.0,500.0
119,119,23,Male,Mechanical,0,6,1,0,1,2.0,32645.0,400.0
120,120,23,Female,Information Technology,2,6,0,0,1,4.0,54522.0,600.0
121,121,23,Male,Electronics And Communication,1,7,0,0,0,3.0,44109.0,600.0
122,122,23,Male,Information Technology,1,5,0,0,1,3.0,175823.0,200.0
123,123,23,Male,Information Technology,1,7,0,0,1,3.0,51746.0,600.0
124,124,23,Male,Mechanical,2,7,1,0,1,4.0,62405.0,700.0
125,125,24,Male,Information Technology,1,5,0,0,0,3.0,99055.0,200.0
126,126,24,Male,Information Technology,1,7,0,0,0,3.0,44716.0,600.0
127,127,24,Male,Computer Science,2,7,0,0,1,4.0,58831.0,700.0
128,128,24,Male,Electronics And Communication,0,5,0,0,0,2.0,153285.0,100.0
129,129,24,Male,Information Technology,1,7,0,0,1,3.0,50576.0,600.0
130,130,23,Male,Mechanical,0,6,1,1,1,2.0,32516.0,400.0
131,131,23,Male,Computer Science,0,6,0,0,0,2.0,21664.0,400.0
132,132,23,Female,Mechanical,1,7,1,0,0,3.0,42581.0,600.0
133,133,24,Male,Computer Science,1,6,0,0,1,3.0,31279.0,500.0
134,134,23,Male,Mechanical,1,6,1,1,1,3.0,39419.0,500.0
135,135,24,Male,Computer Science,0,6,0,0,1,2.0,21910.0,400.0
136,136,24,Male,Mechanical,0,6,0,0,1,2.0,34152.0,400.0
137,137,24,Male,Information Technology,0,5,0,0,1,2.0,199468.0,100.0
138,138,23,Male,Electrical,0,5,0,0,0,2.0,164003.0,100.0
139,139,24,Male,Electrical,0,5,1,0,0,2.0,23974.0,100.0
