,Unnamed: 0,Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot,Codechef,Salary,DSA
0,0,22,Male,Electronics And Communication,1,8,1,1,1,3.0,50917.0,700.0
1,1,21,Female,Computer Science,0,7,1,1,1,2.0,32614.0,500.0
2,2,22,Female,Information Technology,1,6,0,0,1,3.0,30048.0,500.0
3,3,21,Male,Information Technology,0,8,0,1,1,2.0,44910.0,600.0
4,4,22,Male,Mechanical,0,8,1,0,1,2.0,43962.0,600.0
5,5,22,Male,Electronics And Communication,0,6,0,0,0,2.0,23432.0,400.0
6,6,21,Male,Computer Science,0,7,0,1,0,2.0,30005.0,500.0
7,7,21,Male,Information Technology,1,7,0,0,0,3.0,40401.0,600.0
8,8,21,Male,Computer Science,2,6,0,0,1,4.0,40096.0,600.0
9,9,21,Female,Computer Science,1,6,1,0,0,3.0,31556.0,500.0
10,10,22,Male,Computer Science,1,7,0,0,0,3.0,42544.0,600.0
11,11,22,Female,Electrical,1,8,0,1,1,3.0,54486.0,700.0
12,12,21,Female,Computer Science,2,6,1,1,0,4.0,42064.0,600.0
13,13,21,Male,Computer Science,1,8,0,1,1,3.0,50484.0,700.0
14,14,21,Female,Electronics And Communication,2,8,0,0,1,4.0,60037.0,800.0
15,15,22,Male,Mechanical,0,8,1,0,1,2.0,40853.0,600.0
16,16,22,Female,Computer Science,1,7,1,0,0,3.0,42271.0,600.0
17,17,21,Male,Civil,0,6,0,0,0,2.0,22993.0,400.0
18,18,21,Male,Computer Science,1,7,0,0,0,3.0,41226.0,600.0
19,19,22,Male,Computer Science,1,7,0,0,0,3.0,44556.0,600.0
20,20,22,Male,Civil,0,8,0,0,1,2.0,40889.0,600.0
21,21,21,Male,Computer Science,1,6,0,0,0,3.0,33430.0,500.0
22,22,22,Male,Civil,0,7,0,0,0,2.0,31951.0,500.0
23,23,22,Male,Electronics And Communication,1,7,0,1,0,3.0,41031.0,600.0
24,24,22,Male,Electronics And Communication,0,7,0,0,0,2.0,32094.0,500.0
25,25,21,Male,Electrical,0,8,1,0,1,2.0,44940.0,600.0
26,26,22,Male,Electrical,1,8,0,0,1,3.0,54023.0,700.0
27,27,22,Male,Information Technology,1,8,0,0,1,3.0,53985.0,700.0
28,28,22,Male,Information Technology,1,8,0,0,1,3.0,54605.0,700.0
29,29,21,Male,Information Technology,0,6,0,0,1,2.0,24446.0,400.0
30,30,22,Male,Mechanical,1,8,1,0,1,3.0,53116.0,700.0
31,31,21,Male,Electrical,1,7,0,0,1,3.0,43497.0,600.0
32,32,21,Female,Civil,1,7,0,0,0,3.0,44788.0,600.0
33,33,21,Male,Electrical,0,7,0,0,0,2.0,34275.0,500.0
34,34,21,Male,Computer Science,1,6,0,0,1,3.0,33551.0,500.0
35,35,21,Male,Information Technology,1,6,0,0,0,3.0,32932.0,500.0
36,36,22,Male,Civil,0,7,0,0,1,2.0,34127.0,500.0
37,37,22,Male,Computer Science,1,8,0,0,1,3.0,51977.0,700.0
38,38,22,Male,Information Technology,1,6,0,0,0,3.0,32110.0,500.0
39,39,22,Male,Electronics And Communication,0,8,0,1,1,2.0,41107.0,600.0
40,40,22,Male,Electrical,1,6,0,1,0,3.0,33268.0,500.0
41,41,22,Male,Civil,0,8,1,0,1,2.0,41961.0,600.0
42,42,21,Male,Electrical,1,7,1,1,1,3.0,43398.0,600.0
43,43,21,Male,Electrical,1,7,0,0,1,3.0,40716.0,600.0
44,44,22,Female,Information Technology,2,8,0,0,1,4.0,60378.0,800.0
45,45,21,Female,Electronics And Communication,3,6,0,0,1,5.0,52756.0,700.0
46,46,22,Male,Computer Science,1,8,0,0,1,3.0,50557.0,700.0
47,47,21,Male,Electronics And Communication,1,7,0,1,1,3.0,42171.0,600.0
48,48,21,Male,Information Technology,2,7,0,0,1,4.0,52252.0,700.0
49,49,21,Female,Electronics And Communication,0,7,0,0,0,2.0,31301.0,500.0
50,50,22,Male,Electronics And Communication,0,8,0,0,1,2.0,42160.0,600.0
51,51,21,Male,Electrical,1,8,0,0,1,3.0,54755.0,700.0
52,52,21,Female,Computer Science,1,8,1,0,1,3.0,50933.0,700.0
53,53,21,Male,Electrical,3,6,1,1,0,5.0,54703.0,700.0
54,54,21,Female,Electronics And Communication,3,6,0,0,1,5.0,50699.0,700.0
55,55,21,Male,Computer Science,1,7,0,0,1,3.0,44398.0,600.0
56,56,21,Male,Electronics And Communication,0,8,0,0,1,2.0,42572.0,600.0
57,57,21,Male,Civil,0,8,0,0,1,2.0,43806.0,600.0
58,58,21,Male,Electronics And Communication,0,8,0,0,1,2.0,42214.0,600.0
59,59,21,Female,Electrical,1,8,0,0,1,3.0,51907.0,700.0
60,60,21,Male,Computer Science,2,9,0,1,1,5.0,73582.0,900.0
61,61,22,Male,Computer Science,0,8,0,0,1,2.0,41955.0,600.0
62,62,21,Male,Information Technology,0,8,0,0,1,2.0,44714.0,600.0
63,63,21,Male,Information Technology,0,9,0,0,1,3.0,50869.0,700.0
64,64,21,Male,Information Technology,1,8,1,0,1,3.0,50363.0,700.0
65,65,22,Male,Mechanical,0,9,0,0,1,3.0,52357.0,700.0
66,66,22,Male,Computer Science,1,9,0,0,1,4.0,63386.0,800.0
67,67,21,Male,Information Technology,0,8,0,0,1,2.0,40089.0,600.0
68,68,22,Male,Computer Science,2,9,0,0,1,5.0,74589.0,900.0
69,69,21,Male,Mechanical,0,8,1,1,1,2.0,40181.0,600.0
70,70,22,Male,Electrical,1,8,0,0,1,3.0,53825.0,700.0
71,71,22,Male,Information Technology,0,9,0,0,1,3.0,52669.0,700.0
72,72,22,Male,Computer Science,3,9,0,0,1,6.0,80582.0,1000.0
73,73,21,Male,Information Technology,0,8,0,0,1,2.0,40667.0,600.0
74,74,22,Male,Information Technology,1,9,0,0,1,4.0,64225.0,800.0
75,75,21,Male,Civil,0,8,0,0,1,2.0,43354.0,600.0
76,76,21,Male,Mechanical,0,9,1,0,1,3.0,53708.0,700.0
77,77,22,Male,Mechanical,0,8,1,1,1,2.0,41447.0,600.0
78,78,22,Male,Information Technology,0,8,0,0,1,2.0,44719.0,600.0
79,79,21,Male,Computer Science,1,8,0,0,1,3.0,53069.0,700.0
80,80,21,Male,Civil,0,9,0,0,1,3.0,53076.0,700.0
81,81,21,Male,Computer Science,1,9,0,0,1,4.0,64320.0,800.0
82,82,22,Male,Mechanical,0,8,1,0,1,2.0,40639.0,600.0
83,83,21,Male,Information Technology,0,8,0,0,1,2.0,43109.0,600.0
84,84,21,Male,Mechanical,0,8,1,0,1,2.0,41220.0,600.0
85,85,21,Male,Electronics And Communication,2,7,0,0,1,4.0,51101.0,700.0
86,86,21,Male,Computer Science,0,8,0,0,1,2.0,40820.0,600.0
87,87,21,Male,Computer Science,0,6,0,0,0,2.0,22236.0,400.0
88,88,22,Female,Civil,1,6,1,0,0,3.0,30997.0,500.0
89,89,22,Male,Mechanical,1,7,0,0,0,3.0,42787.0,600.0
90,90,21,Male,Civil,1,8,0,1,1,3.0,51456.0,700.0
91,91,22,Male,Information Technology,1,6,0,0,1,3.0,34948.0,500.0
92,92,21,Male,Electrical,1,6,0,0,1,3.0,33754.0,500.0
93,93,22,Female,Information Technology,2,7,0,0,0,4.0,54887.0,700.0
94,94,22,Male,Electronics And Communication,0,6,0,0,0,2.0,20398.0,400.0
95,95,22,Male,Computer Science,1,8,0,0,1,3.0,54594.0,700.0
96,96,21,Male,Computer Science,2,7,0,0,0,4.0,51778.0,700.0
97,97,22,Male,Information Technology,0,8,0,0,1,2.0,40754.0,600.0
98,98,22,Female,Information Technology,0,7,0,0,0,2.0,34322.0,500.0
99,99,21,Male,Mechanical,0,7,0,0,0,2.0,33893.0,500.0
100,100,23,Male,Computer Science,0,7,0,0,1,2.0,34198.0,500.0
101,101,23,Male,Civil,0,6,0,0,1,2.0,23653.0,400.0
102,102,23,Male,Mechanical,1,5,0,0,0,3.0,20744.0,200.0
103,103,24,Male,Information Technology,2,6,0,0,1,4.0,40525.0,600.0
104,104,23,Male,Electrical,0,5,1,0,0,2.0,13959.0,100.0
105,105,23,Male,Information Technology,1,6,0,0,0,3.0,30336.0,500.0
106,106,24,Female,Information Technology,0,6,0,0,1,2.0,21918.0,400.0
107,107,24,Male,Information Technology,1,7,0,0,1,3.0,40041.0,600.0
108,108,24,Male,Civil,1,7,0,1,1,3.0,42819.0,600.0
109,109,23,Male,Information Technology,1,7,0,0,1,3.0,42335.0,600.0
110,110,23,Male,Information Technology,1,6,0,0,1,3.0,33116.0,500.0
111,111,24,Male,Electronics And Communication,1,6,0,1,1,3.0,33641.0,500.0
112,112,24,Male,Electrical,0,7,0,0,0,2.0,30706.0,500.0
113,113,23,Male,Information Technology,1,6,0,0,0,3.0,30421.0,500.0
114,114,24,Male,Computer Science,0,6,0,0,1,2.0,21724.0,400.0
115,115,23,Male,Electrical,0,6,0,0,0,2.0,22726.0,400.0
116,116,23,Male,Information Technology,1,7,1,0,1,3.0,43263.0,600.0
117,117,23,Male,Information Technology,1,7,1,0,1,3.0,44359.0,600.0
118,118,24,Male,Information Technology,3,5,0,1,1,5.0,50809.0,500.0
119,119,23,Male,Mechanical,0,6,1,0,1,2.0,21984.0,400.0
120,120,23,Female,Information Technology,2,6,0,0,1,4.0,41277.0,600.0
121,121,23,Male,Electronics And Communication,1,7,0,0,0,3.0,44669.0,600.0
122,122,23,Male,Information Technology,1,5,0,0,1,3.0,24625.0,200.0
123,123,23,Male,Information Technology,1,7,0,0,1,3.0,44425.0,600.0
124,124,23,Male,Mechanical,2,7,1,0,1,4.0,51545.0,700.0
125,125,24,Male,Information Technology,1,5,0,0,0,3.0,23727.0,200.0
126,126,24,Male,Information Technology,1,7,0,0,0,3.0,40217.0,600.0
127,127,24,Male,Computer Science,2,7,0,0,1,4.0,51500.0,700.0
128,128,24,Male,Electronics And Communication,0,5,0,0,0,2.0,12731.0,100.0
129,129,24,Male,Information Technology,1,7,0,0,1,3.0,44495.0,600.0
130,130,23,Male,Mechanical,0,6,1,1,1,2.0,22867.0,400.0
131,131,23,Male,Computer Science,0,6,0,0,0,2.0,21877.0,400.0
132,132,23,Female,Mechanical,1,7,1,0,0,3.0,40351.0,600.0
133,133,24,Male,Computer Science,1,6,0,0,1,3.0,32651.0,500.0
134,134,23,Male,Mechanical,1,6,1,1,1,3.0,31337.0,500.0
135,135,24,Male,Computer Science,0,6,0,0,1,2.0,23915.0,400.0
136,136,24,Male,Mechanical,0,6,0,0,1,2.0,20976.0,400.0
137,137,24,Male,Information Technology,0,5,0,0,1,2.0,13358.0,100.0
138,138,23,Male,Electrical,0,5,0,0,0,2.0,14277.0,100.0
139,139,24,Male,Electrical,0,5,1,0,0,2.0,13700.0,100.0
140,140,23,Male,Computer Science,1,5,0,0,1,3.0,21640.0,200.0
141,141,23,Male,Electronics And Communication,0,7,0,0,1,2.0,30417.0,500.0
142,142,24,Male,Information Technology,3,7,0,0,1,5.0,61725.0,800.0
143,143,24,Male,Computer Science,2,5,0,0,1,4.0,42318.0,300.0
144,144,24,Male,Computer Science,2,5,0,0,1,4.0,41858.0,300.0
145,145,23,Male,Civil,0,7,1,0,1,2.0,30709.0,500.0
146,146,24,Male,Information Technology,1,6,0,0,1,3.0,31332.0,500.0
147,147,23,Male,Mechanical,0,5,1,1,0,2.0,12440.0,100.0
148,148,23,Male,Electrical,0,6,0,0,0,2.0,22454.0,400.0
149,149,24,Male,Computer Science,1,7,0,0,1,3.0,43623.0,600.0
150,150,23,Male,Electrical,0,5,0,0,0,2.0,13857.0,100.0
151,151,24,Female,Information Technology,0,5,0,0,0,2.0,10059.0,100.0
152,152,23,Male,Computer Science,1,5,0,0,1,3.0,21756.0,200.0
153,153,23,Female,Electronics And Communication,2,6,0,0,0,4.0,42932.0,600.0
154,154,24,Male,Civil,0,7,0,0,1,2.0,32510.0,500.0
155,155,24,Male,Electronics And Communication,2,6,0,0,1,4.0,42183.0,600.0
156,156,23,Male,Information Technology,0,5,0,0,0,2.0,13116.0,100.0
157,157,24,Male,Computer Science,2,6,0,0,1,4.0,43757.0,600.0
158,158,23,Male,Computer Science,1,6,0,0,0,3.0,34737.0,500.0
159,159,24,Male,Computer Science,0,7,0,1,1,2.0,33761.0,500.0
160,160,22,Male,Electronics And Communication,0,7,0,0,1,2.0,32844.0,500.0
161,161,22,Male,Mechanical,0,5,1,0,0,2.0,13390.0,100.0
162,162,22,Male,Computer Science,1,5,0,0,0,3.0,20929.0,200.0
163,163,21,Male,Computer Science,1,6,0,0,1,3.0,34293.0,500.0
164,164,21,Male,Civil,3,6,1,0,1,5.0,50613.0,700.0
165,165,21,Male,Computer Science,0,6,0,1,1,2.0,22249.0,400.0
166,166,21,Male,Electrical,0,5,0,0,0,2.0,12230.0,100.0
167,167,21,Female,Information Technology,1,6,0,0,0,3.0,34394.0,500.0
168,168,22,Male,Computer Science,1,5,0,0,0,3.0,24538.0,200.0
169,169,22,Male,Computer Science,1,5,0,0,0,3.0,21262.0,200.0
170,170,21,Male,Civil,1,6,0,0,1,3.0,33974.0,500.0
171,171,21,Female,Information Technology,2,5,0,0,0,4.0,42734.0,300.0
172,172,21,Male,Information Technology,1,6,0,0,1,3.0,32202.0,500.0
173,173,22,Male,Civil,0,6,0,0,0,2.0,24246.0,400.0
174,174,22,Male,Civil,0,7,0,1,0,2.0,33056.0,500.0
175,175,21,Male,Information Technology,0,7,0,0,1,2.0,33545.0,500.0
176,176,21,Male,Electronics And Communication,0,7,0,0,1,2.0,32387.0,500.0
177,177,22,Female,Information Technology,1,7,1,0,0,3.0,43956.0,600.0
178,178,22,Male,Electrical,1,6,0,0,1,3.0,33010.0,500.0
179,179,21,Female,Mechanical,1,5,1,0,0,3.0,20572.0,200.0
180,180,22,Female,Information Technology,1,6,1,0,0,3.0,34478.0,500.0
181,181,22,Male,Computer Science,2,6,0,0,1,4.0,43803.0,600.0
182,182,21,Male,Electronics And Communication,1,6,0,1,0,3.0,30428.0,500.0
183,183,22,Male,Civil,0,5,0,0,0,2.0,11253.0,100.0
184,184,21,Male,Electrical,2,5,0,1,0,4.0,40198.0,300.0
185,185,22,Male,Civil,1,7,0,0,0,3.0,40115.0,600.0
186,186,21,Female,Computer Science,1,7,1,0,0,3.0,40139.0,600.0
187,187,21,Male,Computer Science,1,6,0,0,0,3.0,32026.0,500.0
188,188,22,Female,Electronics And Communication,1,5,1,0,0,3.0,20921.0,200.0
189,189,21,Female,Information Technology,0,6,0,0,0,2.0,20919.0,400.0
190,190,22,Male,Computer Science,0,5,0,0,0,2.0,14516.0,100.0
191,191,22,Male,Computer Science,0,5,0,0,0,2.0,14890.0,100.0
192,192,21,Male,Mechanical,0,7,1,0,0,2.0,31075.0,500.0
193,193,21,Male,Computer Science,0,5,0,0,0,2.0,13465.0,100.0
194,194,21,Male,Information Technology,0,5,0,1,0,2.0,13444.0,100.0
195,195,22,Female,Computer Science,1,5,1,0,0,3.0,21047.0,200.0
196,196,21,Male,Electronics And Communication,2,6,1,1,0,4.0,40917.0,600.0
197,197,21,Male,Information Technology,1,5,1,1,0,3.0,24590.0,200.0
198,198,22,Female,Computer Science,2,7,1,0,0,4.0,53158.0,700.0
199,199,21,Male,Computer Science,0,8,0,0,1,2.0,43946.0,600.0
200,200,21,Male,Computer Science,2,7,0,0,1,4.0,54680.0,700.0
201,201,22,Male,Computer Science,1,6,0,0,0,3.0,32046.0,500.0
202,202,21,Female,Information Technology,2,6,1,0,1,4.0,44837.0,600.0
203,203,21,Male,Electronics And Communication,1,7,0,0,0,3.0,44152.0,600.0
204,204,21,Female,Computer Science,1,7,1,0,0,3.0,40030.0,600.0
205,205,21,Male,Mechanical,0,8,1,0,1,2.0,42325.0,600.0
206,206,22,Male,Mechanical,0,8,1,0,1,2.0,44418.0,600.0
207,207,22,Male,Information Technology,1,6,0,0,0,3.0,32147.0,500.0
208,208,21,Female,Electrical,0,7,0,0,0,2.0,33313.0,500.0
209,209,21,Male,Mechanical,0,8,0,0,1,2.0,43167.0,600.0
210,210,21,Male,Computer Science,2,8,0,0,1,4.0,62465.0,800.0
211,211,21,Male,Information Technology,1,7,0,0,0,3.0,42125.0,600.0
212,212,22,Male,Information Technology,0,6,0,1,0,2.0,22681.0,400.0
213,213,22,Male,Information Technology,1,8,0,0,1,3.0,52473.0,700.0
